Date,^AXJO,^BSESN,^GSPC,^HSI,^JKSE,^KLSE,^KS11,^N225,^NSEI,^NZ50,^STI,^TWII
2018-02-07,5876.7998046875,34082.7109375,2681.659912109375,30323.19921875,6534.869140625,1836.6800537109375,2396.56005859375,21645.369140625,10476.7001953125,8194.73046875,3383.77001953125,10551.5400390625
2018-02-08,5890.7001953125,34413.16015625,2581.0,30451.26953125,6544.6337890625,1839.43994140625,2407.6201171875,21890.859375,10576.849609375,8177.14013671875,3415.89990234375,10528.51953125
2018-02-09,5838.0,34005.76171875,2619.550048828125,29507.419921875,6505.52294921875,1819.8199462890625,2363.77001953125,21382.619140625,10454.9501953125,8092.3701171875,3377.239990234375,10371.75
2018-02-12,5820.7001953125,34300.46875,2656.0,29459.630859375,6523.4541015625,1830.1700439453125,2385.3798828125,,10539.75,8059.06005859375,3384.97998046875,10421.08984375
2018-02-13,5855.89990234375,,2662.93994140625,29839.529296875,6578.17822265625,1833.02001953125,2395.18994140625,21244.6796875,,8122.22021484375,3415.070068359375,
2018-02-14,5841.2001953125,34155.94921875,2698.6298828125,30515.599609375,6594.40087890625,1834.9300537109375,2421.830078125,21154.169921875,10500.900390625,8058.7998046875,3402.860107421875,
2018-02-15,5909.0,34297.46875,2731.199951171875,31115.4296875,6591.58203125,1838.280029296875,,21464.98046875,10545.5,8063.330078125,3443.510009765625,
2018-02-16,5904.0,34010.76171875,2732.219970703125,,,,,21720.25,10452.2998046875,8125.31005859375,,
2018-02-19,5941.60009765625,33774.66015625,,,6689.287109375,1857.3199462890625,2442.820068359375,22149.2109375,10378.400390625,8115.25,3487.8798828125,
2018-02-20,5940.89990234375,33703.58984375,2716.260009765625,30873.630859375,6662.8759765625,1855.989990234375,2415.1201171875,21925.099609375,10360.400390625,8098.27001953125,3476.530029296875,
2018-02-21,5943.7001953125,33844.859375,2701.330078125,31431.890625,6643.39990234375,1858.1700439453125,2429.64990234375,21970.810546875,10397.4501953125,8200.26953125,3516.22998046875,10714.4404296875
2018-02-22,5950.89990234375,33819.5,2703.9599609375,30965.6796875,6593.06005859375,1855.0699462890625,2414.280029296875,21736.439453125,10382.7001953125,8266.8798828125,3488.4599609375,10662.3798828125
2018-02-23,5999.7998046875,34142.1484375,2747.300048828125,31267.169921875,6619.80419921875,1861.5,2451.52001953125,21892.779296875,10491.0498046875,8301.7197265625,3533.219970703125,10794.5498046875
2018-02-26,6042.2001953125,34445.75,2779.60009765625,31498.599609375,6554.6728515625,1860.0799560546875,2457.64990234375,22153.630859375,10582.599609375,8340.5302734375,3555.85009765625,10836.7001953125
2018-02-27,6056.89990234375,34346.390625,2744.280029296875,31268.66015625,6598.92578125,1871.4599609375,2456.139892578125,22389.859375,10554.2998046875,8360.3798828125,3540.389892578125,10815.4697265625
2018-02-28,6016.0,34184.0390625,2713.830078125,30844.720703125,6597.2177734375,1856.199951171875,2427.360107421875,22068.240234375,10492.849609375,8373.8203125,3517.93994140625,
2018-03-01,5973.2998046875,34046.94140625,2677.669921875,31044.25,6606.05322265625,1860.8599853515625,,21724.470703125,10458.349609375,8342.7099609375,3513.85009765625,10785.7900390625
2018-03-02,5928.89990234375,,2691.25,30583.44921875,6582.31591796875,1856.0699462890625,2402.159912109375,21181.640625,,8288.419921875,3479.199951171875,10698.169921875
2018-03-05,5959.5,33746.78125,2720.93994140625,29886.390625,6550.5927734375,1842.6199951171875,2375.06005859375,21042.08984375,10358.849609375,8279.830078125,3438.610107421875,10642.900390625
2018-03-06,5962.39990234375,33317.19921875,2728.1201171875,30510.73046875,6500.11083984375,1848.3699951171875,2411.409912109375,21417.759765625,10249.25,8327.66015625,3491.919921875,10784.33984375
2018-03-07,5902.0,33033.08984375,2726.800048828125,30196.919921875,6368.26708984375,1837.9000244140625,2401.820068359375,21252.720703125,10154.2001953125,8284.33984375,3450.68994140625,10745.3203125
2018-03-08,5942.89990234375,33351.5703125,2738.969970703125,30654.51953125,6443.02099609375,1839.6199951171875,2433.080078125,21368.0703125,10242.650390625,8358.7001953125,3480.43994140625,10823.240234375
2018-03-09,5963.2001953125,33307.140625,2786.570068359375,30996.2109375,6433.32177734375,1843.9200439453125,2459.449951171875,21469.19921875,10226.849609375,8390.009765625,3485.570068359375,10864.8203125
2018-03-12,5996.10009765625,33917.94140625,2783.02001953125,31594.330078125,6500.68603515625,1861.219970703125,2484.1201171875,21824.029296875,10421.400390625,8463.990234375,3540.18994140625,11002.099609375
2018-03-13,5974.7001953125,33856.78125,2765.31005859375,31601.44921875,6412.84619140625,1864.030029296875,2494.489990234375,21968.099609375,10426.849609375,8473.1396484375,3553.72998046875,11095.6298828125
2018-03-14,5935.2998046875,33835.73828125,2749.47998046875,31435.009765625,6382.623046875,1857.06005859375,2486.080078125,21777.2890625,10410.900390625,8432.6298828125,3539.409912109375,11038.7998046875
2018-03-15,5920.7998046875,33685.5390625,2747.330078125,31541.099609375,6321.90380859375,1845.27001953125,2492.3798828125,21803.94921875,10360.150390625,8467.330078125,3517.72998046875,11018.4501953125
2018-03-16,5949.39990234375,33176.0,2752.010009765625,31501.970703125,6304.9521484375,1846.3900146484375,2493.969970703125,21676.509765625,10195.150390625,8477.080078125,3512.139892578125,11027.7001953125
2018-03-19,5959.39990234375,32923.12109375,2712.919921875,31513.759765625,6289.57177734375,1847.93994140625,2475.030029296875,21480.900390625,10094.25,8492.1201171875,3498.2900390625,11046.900390625
2018-03-20,5936.39990234375,32996.76171875,2716.93994140625,31549.9296875,6243.5771484375,1856.3900146484375,2485.52001953125,21380.970703125,10124.349609375,8487.150390625,3513.31005859375,11010.83984375
2018-03-21,5950.2998046875,33136.1796875,2711.929931640625,31414.51953125,6312.8310546875,1865.800048828125,2484.969970703125,,10155.25,8608.2900390625,3511.1298828125,11011.0703125
2018-03-22,5937.2001953125,33006.26953125,2643.68994140625,31071.05078125,6254.07421875,1876.8699951171875,2496.02001953125,21591.990234375,10114.75,8600.8095703125,3491.3701171875,11005.83984375
2018-03-23,5820.7001953125,32596.5390625,2588.260009765625,30309.2890625,6210.6982421875,1865.219970703125,2416.760009765625,20617.859375,9998.0498046875,8515.3603515625,3421.389892578125,10823.330078125
2018-03-26,5790.5,33066.41015625,2658.550048828125,30548.76953125,6200.171875,1859.9100341796875,2437.080078125,20766.099609375,10130.650390625,8432.41015625,3412.4599609375,10840.0498046875
2018-03-27,5832.2998046875,33174.390625,2612.6201171875,30790.830078125,6209.35009765625,1862.449951171875,2452.06005859375,21317.3203125,10184.150390625,8508.1201171875,3439.35009765625,10986.7900390625
2018-03-28,5789.5,32968.6796875,2605.0,30022.529296875,6140.8369140625,1857.8699951171875,2419.2900390625,21031.310546875,10113.7001953125,8388.080078125,3382.780029296875,10865.66015625
2018-03-29,5759.39990234375,,2640.8701171875,30093.380859375,6188.98681640625,1856.3499755859375,2436.3701171875,21159.080078125,,8319.0703125,3427.969970703125,10845.919921875
2018-03-30,,,,,,1863.4599609375,2445.85009765625,21454.30078125,,,,10906.2197265625
2018-04-02,,33255.359375,2581.8798828125,,6240.57080078125,1858.3499755859375,2444.159912109375,21388.580078125,10211.7998046875,,3430.760009765625,10888.26953125
2018-04-03,5751.89990234375,33370.62890625,2614.449951171875,30180.099609375,6229.01318359375,1850.780029296875,2442.429931640625,21292.2890625,10245.0,8329.9296875,3412.14990234375,10821.5302734375
2018-04-04,5761.39990234375,33019.0703125,2644.68994140625,29518.689453125,6157.09619140625,1815.93994140625,2408.06005859375,21319.55078125,10128.400390625,8398.080078125,3339.699951171875,
2018-04-05,5788.7998046875,33596.80078125,2662.840087890625,,6183.22705078125,1836.1300048828125,2437.52001953125,21645.419921875,10325.150390625,8363.990234375,3405.64990234375,
2018-04-06,5788.7001953125,33626.96875,2604.469970703125,29844.939453125,6175.0517578125,1837.010009765625,2429.580078125,21567.51953125,10331.599609375,8393.26953125,3442.5,
2018-04-09,5808.7001953125,33788.5390625,2613.159912109375,30229.580078125,6246.130859375,1849.7099609375,2444.080078125,21678.259765625,10379.349609375,8454.1298828125,3449.9599609375,10893.5302734375
2018-04-10,5857.0,33880.25,2656.8701171875,30728.740234375,6325.81787109375,1860.97998046875,2450.739990234375,21794.3203125,10402.25,8469.76953125,3466.3798828125,10927.1796875
2018-04-11,5828.7001953125,33940.44140625,2642.18994140625,30897.7109375,6360.93212890625,1869.8900146484375,2444.219970703125,21687.099609375,10417.150390625,8453.7197265625,3479.760009765625,10974.01953125
2018-04-12,5815.5,34101.12890625,2663.989990234375,30831.279296875,6310.8017578125,1873.6199951171875,2442.7099609375,21660.279296875,10458.650390625,8404.2197265625,3468.610107421875,10955.2900390625
2018-04-13,5829.10009765625,34192.6484375,2656.300048828125,30808.380859375,6270.3271484375,1868.469970703125,2455.070068359375,21778.740234375,10480.599609375,8414.76953125,3501.300048828125,10965.3896484375
2018-04-16,5841.2998046875,34305.4296875,2677.840087890625,30315.58984375,6286.748046875,1878.760009765625,2457.489990234375,21835.529296875,10528.349609375,8406.349609375,3497.18994140625,10954.5498046875
2018-04-17,5841.5,34395.05859375,2706.389892578125,30062.75,6285.76220703125,1880.489990234375,2453.77001953125,21847.58984375,10548.7001953125,8344.51953125,3498.199951171875,10810.4501953125
2018-04-18,5861.39990234375,34331.6796875,2708.639892578125,30284.25,6320.0048828125,1879.3199462890625,2479.97998046875,22158.19921875,10526.2001953125,8369.490234375,3557.820068359375,10847.8896484375
2018-04-19,5881.0,34427.2890625,2693.1298828125,30708.439453125,6355.90087890625,1895.1800537109375,2486.10009765625,22191.1796875,10565.2998046875,8373.0302734375,3598.72998046875,10971.2197265625
2018-04-20,5868.7998046875,34415.578125,2670.139892578125,30418.330078125,6337.69482421875,1887.75,2476.330078125,22162.240234375,10564.0498046875,8323.2197265625,3573.3798828125,10779.3798828125
2018-04-23,5886.0,34450.76953125,2670.2900390625,30254.400390625,6308.14794921875,1880.3599853515625,2474.110107421875,22088.0390625,10584.7001953125,8303.6201171875,3579.5400390625,10697.1298828125
2018-04-24,5921.60009765625,34616.640625,2634.56005859375,30636.240234375,6229.634765625,1865.3399658203125,2464.139892578125,22278.119140625,10614.349609375,8288.6396484375,3584.56005859375,10579.5
2018-04-25,,34501.26953125,2639.39990234375,30328.150390625,6079.85009765625,1851.9300537109375,2448.81005859375,22215.3203125,10570.5498046875,,3568.010009765625,10559.9697265625
2018-04-26,5910.7998046875,34713.6015625,2666.93994140625,30007.6796875,5909.1982421875,1852.27001953125,2475.639892578125,22319.609375,10617.7998046875,8282.0498046875,3570.02001953125,10488.580078125
2018-04-27,5953.60009765625,34969.69921875,2669.909912109375,30280.669921875,5919.23779296875,1863.469970703125,2492.39990234375,22467.869140625,10692.2998046875,8370.3701171875,3577.2099609375,10553.4296875
2018-04-30,5982.7001953125,35160.359375,2648.050048828125,30808.44921875,5994.59521484375,1870.3699951171875,2515.3798828125,,10739.349609375,8443.580078125,3613.929931640625,10657.8798828125
2018-05-01,6015.2001953125,,2654.800048828125,,,,,22508.029296875,,8435.9697265625,,
2018-05-02,6050.2001953125,35176.421875,2635.669921875,30723.880859375,6012.23779296875,1852.030029296875,2505.610107421875,22472.779296875,10718.0498046875,8494.240234375,3615.280029296875,10618.8095703125
2018-05-03,6098.2998046875,35103.140625,2629.72998046875,30313.369140625,5858.73193359375,1851.800048828125,2487.25,,10679.650390625,8546.8798828125,3575.679931640625,10514.1796875
2018-05-04,6062.89990234375,34915.37890625,2663.419921875,29926.5,5792.34521484375,1841.8299560546875,2461.3798828125,,10618.25,8549.3701171875,3545.3798828125,10529.3701171875
2018-05-07,6084.5,35208.140625,2672.6298828125,29994.259765625,5885.09814453125,1828.199951171875,,22467.16015625,10715.5,8587.9404296875,3532.860107421875,10604.91015625
2018-05-08,6091.89990234375,35216.3203125,2671.919921875,30402.810546875,5774.7158203125,1846.510009765625,2449.81005859375,22508.689453125,10717.7998046875,8594.58984375,3543.169921875,10691.3798828125
2018-05-09,6108.0,35319.3515625,2697.7900390625,30536.140625,5907.93798828125,,2443.97998046875,22408.880859375,10741.7001953125,8619.830078125,3548.5400390625,10703.349609375
2018-05-10,6118.7001953125,35246.26953125,2723.070068359375,30809.220703125,,,2464.159912109375,22497.1796875,10716.5498046875,8637.7197265625,3537.590087890625,10760.2099609375
2018-05-11,6116.2001953125,35535.7890625,2727.719970703125,31122.060546875,5956.83203125,,2477.7099609375,22758.48046875,10806.5,8676.6904296875,3570.169921875,10858.98046875
2018-05-14,6135.2998046875,35556.7109375,2730.1298828125,31541.080078125,5947.15478515625,1850.4200439453125,2476.110107421875,22865.859375,10806.599609375,8713.23046875,3562.4599609375,10952.3896484375
2018-05-15,6097.7998046875,35543.94140625,2711.449951171875,31152.029296875,5838.1162109375,1848.199951171875,2458.5400390625,22818.01953125,10801.849609375,8708.7802734375,3540.22998046875,10874.73046875
2018-05-16,6107.0,35387.87890625,2722.4599609375,31110.19921875,5841.4638671875,1858.260009765625,2459.820068359375,22717.23046875,10741.099609375,8555.509765625,3533.050048828125,10897.5703125
2018-05-17,6094.2998046875,35149.12109375,2720.1298828125,30942.150390625,5815.919921875,1854.43994140625,2448.449951171875,22838.369140625,10682.7001953125,8603.3798828125,3536.760009765625,10833.8095703125
2018-05-18,6087.39990234375,34848.30078125,2712.969970703125,31047.91015625,5783.31005859375,1854.5,2460.64990234375,22930.359375,10596.400390625,8657.330078125,3529.27001953125,10830.83984375
2018-05-21,6084.5,34616.12890625,2733.010009765625,31234.349609375,5733.85400390625,1853.5799560546875,2465.570068359375,23002.369140625,10516.7001953125,8615.7197265625,3548.22998046875,10966.2001953125
2018-05-22,6041.89990234375,34651.23828125,2724.43994140625,,5751.119140625,1845.030029296875,,22960.33984375,10536.7001953125,8613.3203125,3543.179931640625,10938.73046875
2018-05-23,6032.5,34344.91015625,2733.2900390625,30665.640625,5792.0009765625,1804.25,2471.909912109375,22689.740234375,10430.349609375,8553.23046875,3496.27001953125,10886.1796875
2018-05-24,6037.10009765625,34663.109375,2727.760009765625,30760.41015625,5946.5380859375,1775.6600341796875,2466.010009765625,22437.009765625,10513.849609375,8590.76953125,3528.919921875,10936.9296875
2018-05-25,6032.7998046875,34924.87109375,2721.330078125,30588.0390625,5975.7421875,1797.4000244140625,2460.800048828125,22450.7890625,10605.150390625,8638.400390625,3513.22998046875,10942.2998046875
2018-05-28,6004.0,35165.48046875,,30792.259765625,6068.3251953125,1775.8399658203125,2478.9599609375,22481.08984375,10688.650390625,8645.2001953125,3518.47998046875,10987.76953125
2018-05-29,6013.60009765625,34949.23828125,2689.860107421875,30484.580078125,,,2457.25,22358.4296875,10633.2998046875,8635.8603515625,,10964.1201171875
2018-05-30,5984.7001953125,34906.109375,2724.010009765625,30056.7890625,6011.05517578125,1719.280029296875,2409.030029296875,22018.51953125,10614.349609375,8647.8603515625,3443.949951171875,10821.169921875
2018-05-31,6011.89990234375,35322.37890625,2705.27001953125,30468.560546875,5983.5869140625,1740.6199951171875,2423.010009765625,22201.8203125,10736.150390625,8658.7900390625,3428.179931640625,10874.9599609375
2018-06-01,5990.39990234375,35227.26171875,2734.6201171875,30492.91015625,,1756.3800048828125,2438.9599609375,22171.349609375,10696.2001953125,8636.16015625,3427.510009765625,10949.080078125
2018-06-04,6025.5,35011.890625,2746.8701171875,30997.98046875,6014.81884765625,1755.1700439453125,2447.760009765625,22475.939453125,10628.5,,3467.47998046875,11109.5
2018-06-05,5994.89990234375,34903.2109375,2748.800048828125,31093.44921875,6088.7900390625,1755.1400146484375,2453.760009765625,22539.5390625,10593.150390625,8757.0400390625,3483.159912109375,11100.1103515625
2018-06-06,6025.10009765625,35178.87890625,2772.35009765625,31259.099609375,6069.712890625,1777.1300048828125,,22625.73046875,10684.650390625,8813.4501953125,3467.81005859375,11201.830078125
2018-06-07,6057.2998046875,35463.078125,2770.3701171875,31512.630859375,6106.6982421875,1785.81005859375,2470.580078125,22823.259765625,10768.349609375,8899.51953125,3473.080078125,11251.75
2018-06-08,6045.2001953125,35443.671875,2779.030029296875,30958.2109375,5993.626953125,1778.3199462890625,2451.580078125,22694.5,10767.650390625,8938.4501953125,3436.3701171875,11156.419921875
2018-06-11,,35483.46875,2782.0,31063.69921875,,1775.800048828125,2470.14990234375,22804.0390625,10786.9501953125,8959.8095703125,3441.68994140625,11149.23046875
2018-06-12,6054.39990234375,35692.51953125,2786.85009765625,31103.060546875,,1764.1600341796875,2468.830078125,22878.349609375,10842.849609375,8958.8095703125,3430.68994140625,11144.7900390625
2018-06-13,6023.5,35739.16015625,2775.6298828125,30725.150390625,,1763.5699462890625,,22966.380859375,10856.7001953125,8977.3095703125,3392.510009765625,11173.2099609375
2018-06-14,6016.60009765625,35599.8203125,2782.489990234375,30440.169921875,,1761.780029296875,2423.47998046875,22738.609375,10808.0498046875,8978.1796875,3356.72998046875,11013.98046875
2018-06-15,6094.0,35622.140625,2779.659912109375,30309.490234375,,,2404.0400390625,22851.75,10817.7001953125,8975.75,,11087.4697265625
2018-06-18,6104.10009765625,35548.26171875,2773.75,,,1743.4300537109375,2376.239990234375,22680.330078125,10799.849609375,8974.23046875,3324.0400390625,
2018-06-19,6102.10009765625,35286.73828125,2762.590087890625,29468.150390625,,1715.3599853515625,2340.110107421875,22278.48046875,10710.4501953125,8863.240234375,3301.35009765625,10904.1904296875
2018-06-20,6172.60009765625,35547.328125,2767.320068359375,29696.169921875,5884.0390625,1709.75,2363.909912109375,22555.4296875,10772.0498046875,8905.7900390625,3315.89990234375,10927.4404296875
2018-06-21,6232.10009765625,35432.390625,2749.760009765625,29296.05078125,5822.3330078125,1692.3199462890625,2337.830078125,22693.0390625,10741.099609375,8998.7802734375,3300.0,10941.0703125
2018-06-22,6225.2001953125,35689.6015625,2754.8798828125,29338.69921875,5821.81201171875,1694.1500244140625,2357.219970703125,22516.830078125,10821.849609375,8999.3701171875,3287.39990234375,10899.2802734375
2018-06-25,6210.39990234375,35470.3515625,2717.070068359375,28961.390625,5859.0830078125,1678.0999755859375,2357.8798828125,22338.150390625,10762.4501953125,8996.240234375,3260.840087890625,10786.4599609375
2018-06-26,6197.60009765625,35490.0390625,2723.06005859375,28881.400390625,5825.64892578125,1675.8599853515625,2350.919921875,22342.0,10769.150390625,8989.7998046875,3280.8701171875,10742.169921875
2018-06-27,6195.89990234375,35217.109375,2699.6298828125,28356.259765625,5787.5517578125,1666.0799560546875,2342.030029296875,22271.76953125,10671.400390625,8996.51953125,3254.77001953125,10701.0302734375
2018-06-28,6215.39990234375,35037.640625,2716.31005859375,28497.3203125,5667.31884765625,1665.6800537109375,2314.239990234375,22270.390625,10589.099609375,8998.7900390625,3257.570068359375,10654.2802734375
2018-06-29,6194.60009765625,35423.48046875,2718.3701171875,28955.109375,5799.23681640625,1691.5,2326.1298828125,22304.509765625,10714.2998046875,8943.1298828125,3268.699951171875,10836.91015625
2018-07-02,6177.7998046875,35264.41015625,2726.7099609375,,5746.77001953125,1685.050048828125,2271.5400390625,21811.9296875,10657.2998046875,8942.4697265625,3238.93994140625,10777.9404296875
2018-07-03,6210.2001953125,35378.6015625,2713.219970703125,28545.5703125,5633.93701171875,1680.3699951171875,2272.760009765625,21785.5390625,10699.900390625,9053.58984375,3235.89990234375,10715.7197265625
2018-07-04,6183.39990234375,35645.3984375,,28241.669921875,5733.63916015625,1688.449951171875,2265.4599609375,21717.0390625,10769.900390625,9025.6396484375,3244.889892578125,10721.8701171875
2018-07-05,6215.5,35574.55078125,2736.610107421875,28182.08984375,5739.33203125,1690.6500244140625,2257.550048828125,21546.990234375,10749.75,9062.849609375,3256.7099609375,10611.8095703125
2018-07-06,6272.2998046875,35657.859375,2759.820068359375,28315.619140625,5694.912109375,1663.8599853515625,2272.8701171875,21788.140625,10772.650390625,9084.0400390625,3191.820068359375,10608.5703125
