Date,^AXJO,^BSESN,^GSPC,^HSI,^JKSE,^KLSE,^KS11,^N225,^NSEI,^NZ50,^STI,^TWII
2007-09-17,6271.39990234375,15504.4296875,1476.6500244140625,24599.33984375,2223.220947265625,1278.3399658203125,1871.6800537109375,16127.419921875,4494.64990234375,4168.72021484375,3476.31005859375,8899.91015625
2007-09-18,6192.5,15669.1201171875,1519.780029296875,24576.849609375,2239.862060546875,1277.3299560546875,1838.6099853515625,15801.7998046875,4546.2001953125,4123.52001953125,3477.75,8899.91015625
2007-09-19,6356.10009765625,16322.75,1529.030029296875,25554.640625,2313.339111328125,1297.1600341796875,1902.6500244140625,16381.5400390625,4732.35009765625,4177.64990234375,3594.360107421875,8926.3798828125
2007-09-20,6393.7001953125,16347.9501953125,1518.75,25701.130859375,2304.631103515625,1308.6700439453125,1908.969970703125,16413.7890625,4747.5498046875,4206.8798828125,3552.4599609375,8983.0302734375
2007-09-21,6357.89990234375,16564.23046875,1525.75,25843.779296875,2335.487060546875,1305.93994140625,1919.260009765625,16312.6103515625,4837.5498046875,4231.16015625,3542.219970703125,9105.2802734375
2007-09-24,6451.5,16845.830078125,1517.72998046875,26551.939453125,2353.6298828125,1317.239990234375,1919.260009765625,16312.6103515625,4932.2001953125,4232.669921875,3639.02001953125,9105.2802734375
2007-09-25,6483.0,16899.5390625,1517.2099609375,26430.2890625,2330.363037109375,1316.4300537109375,1919.260009765625,16401.73046875,4938.85009765625,4241.669921875,3624.820068359375,9105.2802734375
2007-09-26,6481.39990234375,16921.390625,1525.4200439453125,26430.2890625,2361.012939453125,1320.8900146484375,1919.260009765625,16435.740234375,4940.5,4275.97021484375,3650.090087890625,9257.4697265625
2007-09-27,6538.10009765625,17150.560546875,1531.3800048828125,27065.150390625,2378.830078125,1335.6600341796875,1945.280029296875,16832.220703125,5000.5498046875,4275.81005859375,3714.77001953125,9413.650390625
2007-09-28,6567.7998046875,17291.099609375,1526.75,27142.470703125,2359.2060546875,1336.300048828125,1946.47998046875,16785.689453125,5021.35009765625,4268.89990234375,3706.22998046875,9411.9501953125
2007-10-01,6563.7001953125,17328.619140625,1547.0400390625,27142.470703125,2399.4560546875,1347.050048828125,1962.6700439453125,16845.9609375,5068.9501953125,4281.18994140625,3755.219970703125,9488.5
2007-10-02,6659.89990234375,17328.619140625,1546.6300048828125,28199.75,2464.943115234375,1368.719970703125,2014.0899658203125,17046.779296875,5068.9501953125,4332.2900390625,3793.830078125,9623.25
